drive,config,rw,bw_mbps
ssd,01-ext4,rnd-4k-q32-t16-read,2247.58
ssd,01-ext4,rnd-4k-q32-t16-write,2301.85
ssd,01-ext4,seq-1m-q8-t1-read,3399.82
ssd,01-ext4,seq-1m-q8-t1-write,3104.68
ssd,02-ext4+integrity,rnd-4k-q32-t16-read,1342.44
ssd,02-ext4+integrity,rnd-4k-q32-t16-write,600.6
ssd,02-ext4+integrity,seq-1m-q8-t1-read,3408.99
ssd,02-ext4+integrity,seq-1m-q8-t1-write,1183.35
ssd,03-ext4+integrity[no-journal],rnd-4k-q32-t16-read,1375.36
ssd,03-ext4+integrity[no-journal],rnd-4k-q32-t16-write,1251.8
ssd,03-ext4+integrity[no-journal],seq-1m-q8-t1-read,2570.58
ssd,03-ext4+integrity[no-journal],seq-1m-q8-t1-write,2194.32
ssd,04-ext4+integrity[bitmap-mode],rnd-4k-q32-t16-read,1372.66
ssd,04-ext4+integrity[bitmap-mode],rnd-4k-q32-t16-write,1257.68
ssd,04-ext4+integrity[bitmap-mode],seq-1m-q8-t1-read,3367.37
ssd,04-ext4+integrity[bitmap-mode],seq-1m-q8-t1-write,2246.69
ssd,05-ext4+crypt,rnd-4k-q32-t16-read,1767.29
ssd,05-ext4+crypt,rnd-4k-q32-t16-write,1267.91
ssd,05-ext4+crypt,seq-1m-q8-t1-read,988.82
ssd,05-ext4+crypt,seq-1m-q8-t1-write,1005.58
ssd,06-ext4+crypt[integrity-hmac-sha256],rnd-4k-q32-t16-read,407.19
ssd,06-ext4+crypt[integrity-hmac-sha256],rnd-4k-q32-t16-write,270.46
ssd,06-ext4+crypt[integrity-hmac-sha256],seq-1m-q8-t1-read,175.88
ssd,06-ext4+crypt[integrity-hmac-sha256],seq-1m-q8-t1-write,123.48
ssd,07-ext4+crypt+integrity,rnd-4k-q32-t16-read,1140.06
ssd,07-ext4+crypt+integrity,rnd-4k-q32-t16-write,726.71
ssd,07-ext4+crypt+integrity,seq-1m-q8-t1-read,3244.96
ssd,07-ext4+crypt+integrity,seq-1m-q8-t1-write,1197.3
ssd,10-ext4+lvm,rnd-4k-q32-t16-read,1471.08
ssd,10-ext4+lvm,rnd-4k-q32-t16-write,2042.48
ssd,10-ext4+lvm,seq-1m-q8-t1-read,3401.03
ssd,10-ext4+lvm,seq-1m-q8-t1-write,3105.26
ssd,14-btrfs,rnd-4k-q32-t16-read,1548.44
ssd,14-btrfs,rnd-4k-q32-t16-write,74.71
ssd,14-btrfs,seq-1m-q8-t1-read,3414.24
ssd,14-btrfs,seq-1m-q8-t1-write,2469.06
ssd,17-zfs,rnd-4k-q32-t16-read,83.49
ssd,17-zfs,rnd-4k-q32-t16-write,18.28
ssd,17-zfs,seq-1m-q8-t1-read,1392.07
ssd,17-zfs,seq-1m-q8-t1-write,647.57
